Layer,IOType,Strategy,Inputs,Outputs,ReuseFactor,Precision,AreaHLS,LatencyHLS,IIHLS,AreaSYN,RuntimeHLS,RuntimeSYN
dense,io_parallel,Latency,32,32,23,"ac_fixed<16,6,true>",188759.3,718,738,223151.656,1028,1623
dense,io_parallel,Latency,32,32,24,"ac_fixed<16,6,true>",188751.3,749,770,223437.606,1042,1333
dense,io_parallel,Latency,32,32,25,"ac_fixed<16,6,true>",188761.0,780,802,224139.580,1045,1410
dense,io_parallel,Latency,32,32,26,"ac_fixed<16,6,true>",188770.7,811,834,223120.800,1039,1378
dense,io_parallel,Latency,32,32,27,"ac_fixed<16,6,true>",188767.3,842,866,223441.330,1065,1478
dense,io_parallel,Latency,32,32,28,"ac_fixed<16,6,true>",188775.5,873,898,223191.556,1110,1334
dense,io_parallel,Latency,32,32,29,"ac_fixed<16,6,true>",188783.8,904,930,223441.596,1086,1523
dense,io_parallel,Latency,32,32,30,"ac_fixed<16,6,true>",188786.9,935,962,223090.742,1094,1312
dense,io_parallel,Latency,32,32,31,"ac_fixed<16,6,true>",188789.4,966,994,223425.636,1084,1296
dense,io_parallel,Latency,32,32,32,"ac_fixed<16,6,true>",188796.8,997,1026,223906.830,1135,1362
dense,io_parallel,Resource,32,32,1,"ac_fixed<16,6,true>",176997.2,129,131,156473.968,7976,1843
dense,io_stream,Latency,32,32,1,"ac_fixed<16,6,true>",1263110.8,2,1,274333.514,154,1846
dense,io_stream,Latency,32,32,2,"ac_fixed<16,6,true>",743336.4,3,2,333924.164,484,2157
dense,io_stream,Latency,32,32,3,"ac_fixed<16,6,true>",661963.7,5,4,435223.614,903,2639
dense,io_stream,Latency,32,32,4,"ac_fixed<16,6,true>",475688.3,5,4,322776.636,348,2000
dense,io_stream,Latency,32,32,5,"ac_fixed<16,6,true>",474169.5,7,6,350626.570,749,1843
dense,io_stream,Latency,32,32,6,"ac_fixed<16,6,true>",501739.6,8,7,370755.056,1351,2110
dense,io_stream,Latency,32,32,7,"ac_fixed<16,6,true>",341931.9,9,8,285836.152,324,1560
dense,io_stream,Latency,32,32,8,"ac_fixed<16,6,true>",341931.9,9,8,285836.152,323,1604
dense,io_stream,Latency,32,32,9,"ac_fixed<16,6,true>",367567.9,12,11,290466.680,943,1934
dense,io_stream,Latency,32,32,10,"ac_fixed<16,6,true>",367567.9,12,11,290466.680,942,1967
dense,io_stream,Latency,32,32,11,"ac_fixed<16,6,true>",279505.7,17,16,253682.604,367,1527
dense,io_stream,Latency,32,32,12,"ac_fixed<16,6,true>",279505.7,17,16,253682.604,376,1506
dense,io_stream,Latency,32,32,13,"ac_fixed<16,6,true>",279505.7,17,16,253682.604,366,1514
dense,io_stream,Latency,32,32,14,"ac_fixed<16,6,true>",279505.7,17,16,253682.604,371,1175
dense,io_stream,Latency,32,32,15,"ac_fixed<16,6,true>",279505.7,17,16,253682.604,367,1293
dense,io_stream,Latency,32,32,16,"ac_fixed<16,6,true>",279505.7,17,16,253682.604,364,1266
dense,io_stream,Latency,32,32,17,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,390,1183
dense,io_stream,Latency,32,32,18,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,387,1251
dense,io_stream,Latency,32,32,19,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,387,1208
dense,io_stream,Latency,32,32,20,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,354,1031
dense,io_stream,Latency,32,32,21,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,363,1036
dense,io_stream,Latency,32,32,22,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,374,1034
dense,io_stream,Latency,32,32,23,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,358,1034
dense,io_stream,Latency,32,32,24,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,362,1034
dense,io_stream,Latency,32,32,25,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,363,1066
dense,io_stream,Latency,32,32,26,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,374,1056
dense,io_stream,Latency,32,32,27,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,371,1042
dense,io_stream,Latency,32,32,28,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,360,1051
dense,io_stream,Latency,32,32,29,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,368,1054
dense,io_stream,Latency,32,32,30,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,359,1028
dense,io_stream,Latency,32,32,31,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,354,1033
dense,io_stream,Latency,32,32,32,"ac_fixed<16,6,true>",246359.6,33,32,239766.814,351,1032
dense,io_stream,Resource,32,32,1,"ac_fixed<16,6,true>",1263110.8,2,1,274333.514,153,1799
dense,io_stream,Resource,32,32,2,"ac_fixed<16,6,true>",655508.3,3,2,234191.720,109,1437
dense,io_stream,Resource,32,32,3,"ac_fixed<16,6,true>",655508.3,3,2,234191.720,117,1476
dense,io_stream,Resource,32,32,4,"ac_fixed<16,6,true>",340679.3,4,4,164174.934,55,996
dense,io_stream,Resource,32,32,5,"ac_fixed<16,6,true>",340679.3,4,4,164174.934,55,993
dense,io_stream,Resource,32,32,6,"ac_fixed<16,6,true>",340679.3,4,4,164174.934,55,1023
dense,io_stream,Resource,32,32,7,"ac_fixed<16,6,true>",183928.1,8,8,99984.080,35,469
dense,io_stream,Resource,32,32,8,"ac_fixed<16,6,true>",183928.1,8,8,99984.080,36,465
dense,io_stream,Resource,32,32,9,"ac_fixed<16,6,true>",183928.1,8,8,99984.080,33,453
dense,io_stream,Resource,32,32,10,"ac_fixed<16,6,true>",183928.1,8,8,99984.080,34,460
dense,io_stream,Resource,32,32,11,"ac_fixed<16,6,true>",183928.1,8,8,99984.080,34,453
dense,io_stream,Resource,32,32,12,"ac_fixed<16,6,true>",183928.1,8,8,99984.080,36,462
dense,io_stream,Resource,32,32,13,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,27,214
dense,io_stream,Resource,32,32,14,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,26,219
dense,io_stream,Resource,32,32,15,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,26,217
dense,io_stream,Resource,32,32,16,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,27,215
dense,io_stream,Resource,32,32,17,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,26,216
dense,io_stream,Resource,32,32,18,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,26,215
dense,io_stream,Resource,32,32,19,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,28,239
dense,io_stream,Resource,32,32,20,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,26,216
dense,io_stream,Resource,32,32,21,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,26,220
dense,io_stream,Resource,32,32,22,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,29,235
dense,io_stream,Resource,32,32,23,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,26,216
dense,io_stream,Resource,32,32,24,"ac_fixed<16,6,true>",106664.0,16,16,58946.398,27,222
dense,io_stream,Resource,32,32,25,"ac_fixed<16,6,true>",67400.7,32,32,37839.298,23,146
dense,io_stream,Resource,32,32,26,"ac_fixed<16,6,true>",67400.7,32,32,37839.298,23,136
dense,io_stream,Resource,32,32,27,"ac_fixed<16,6,true>",67400.7,32,32,37839.298,21,127
dense,io_stream,Resource,32,32,28,"ac_fixed<16,6,true>",67400.7,32,32,37839.298,24,125
dense,io_stream,Resource,32,32,29,"ac_fixed<16,6,true>",67400.7,32,32,37839.298,21,129
dense,io_stream,Resource,32,32,30,"ac_fixed<16,6,true>",67400.7,32,32,37839.298,22,127
dense,io_stream,Resource,32,32,31,"ac_fixed<16,6,true>",67400.7,32,32,37839.298,21,128
dense,io_stream,Resource,32,32,32,"ac_fixed<16,6,true>",67400.7,32,32,37839.298,21,132
dense,io_stream,Latency,4,4,5,"ac_fixed<16,6,true>",6677.5,16,16,6114.808,17,44
dense,io_stream,Latency,4,4,6,"ac_fixed<16,6,true>",6391.1,8,8,5896.688,13,42
dense,io_stream,Latency,4,4,7,"ac_fixed<16,6,true>",6391.1,8,8,5896.688,15,43
dense,io_stream,Latency,4,4,8,"ac_fixed<16,6,true>",6391.1,8,8,5896.688,15,41
dense,io_stream,Latency,4,4,9,"ac_fixed<16,6,true>",5640.8,16,16,5684.952,14,41
dense,io_stream,Latency,4,4,10,"ac_fixed<16,6,true>",5640.8,16,16,5684.952,14,42
dense,io_stream,Latency,4,4,11,"ac_fixed<16,6,true>",5640.8,16,16,5684.952,14,37
dense,io_stream,Latency,4,4,12,"ac_fixed<16,6,true>",5640.8,16,16,5684.952,15,43
dense,io_stream,Latency,4,4,13,"ac_fixed<16,6,true>",5640.8,16,16,5684.952,14,43
dense,io_stream,Latency,4,4,14,"ac_fixed<16,6,true>",5640.8,16,16,5684.952,14,44
dense,io_stream,Latency,4,4,15,"ac_fixed<16,6,true>",5640.8,16,16,5684.952,13,43
dense,io_stream,Latency,4,4,16,"ac_fixed<16,6,true>",5640.8,16,16,5684.952,15,44
dense,io_stream,Resource,4,4,5,"ac_fixed<16,6,true>",6793.7,4,4,4612.706,11,44
dense,io_stream,Resource,4,4,6,"ac_fixed<16,6,true>",6793.7,4,4,4612.706,11,44
dense,io_stream,Resource,4,4,7,"ac_fixed<16,6,true>",4582.3,8,8,3545.514,13,31
dense,io_stream,Resource,4,4,8,"ac_fixed<16,6,true>",4582.3,8,8,3545.514,12,32
dense,io_stream,Resource,4,4,9,"ac_fixed<16,6,true>",4582.3,8,8,3545.514,13,32
dense,io_stream,Resource,4,4,10,"ac_fixed<16,6,true>",4582.3,8,8,3545.514,13,30
dense,io_stream,Resource,4,4,11,"ac_fixed<16,6,true>",4582.3,8,8,3545.514,13,33
dense,io_stream,Resource,4,4,12,"ac_fixed<16,6,true>",4582.3,8,8,3545.514,13,32
dense,io_stream,Resource,4,4,13,"ac_fixed<16,6,true>",3457.6,16,16,2819.600,13,27
dense,io_stream,Resource,4,4,14,"ac_fixed<16,6,true>",3457.6,16,16,2819.600,13,28
dense,io_stream,Resource,4,4,15,"ac_fixed<16,6,true>",3457.6,16,16,2819.600,13,27
dense,io_stream,Resource,4,4,16,"ac_fixed<16,6,true>",3457.6,16,16,2819.600,13,29
dense,io_parallel,Latency,4,4,5,"ac_fixed<16,6,true>",4536.3,77,82,4660.586,729,37
dense,io_parallel,Latency,4,4,6,"ac_fixed<16,6,true>",4231.5,44,50,4531.576,29,35
